=============training from sratch============
Program ID: 24173

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '1', '1']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            4    At July 29th 09:37am, 2019, reduce filters to 96 to further reduce parameters, keep avgPool.
            5    at July 29th 11:25am, 2019,  reduce filter number to 48, and redue one stage
            6    at July 29th 12:41, 2019:
                    add GPUID in command line;
                    use SGD optimizer, instead of Adam
                    add numbers of filters along deeper layer with step 12.
                    add saveDir's tims stamp;
            7    at July 29th 15:18, 2019,
                    change learning rate step_size = 5 from 10;
                    before FC, we use conv2d
                    learning rate start at 0.5.
            8    at July 30th 03:00, 2019:
                    add learning rate print;
                    use stride =2;
                    add filter number by 2 times along deeper layers.
                                    
                    
            
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-30 03:45:28.217649
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten/20190730_034528

Info: this is the 1th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_1 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_1 dataset, total 101 files, where 1 has 70 with rate of 0.693069306930693
In this validation_1 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
=== Network trains from scratch ====
Network has total 90,380,916 parameters.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	LearningRate		TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	1.0000e-02		1.5720	0.6139	0.7143	0.3871		0.3846	0.7059	1.0000	0.0000		0.3847	0.7059	1.0000	0.0000
5	9.5000e-03		5.0773	0.4653	0.5143	0.3548		79.9372	0.5882	0.7917	0.1000		146.9354	0.4412	0.6250	0.0000
10	9.0250e-03		0.6771	0.3069	0.0571	0.8710		3.3336	0.5588	0.6667	0.3000		3.4557	0.7941	0.7917	0.8000
15	8.5737e-03		3.0802	0.4158	0.2143	0.8710		33.1594	0.5588	0.7500	0.1000		16.7062	0.7941	0.8333	0.7000
20	8.1451e-03		0.7537	0.6139	0.7286	0.3548		3.4545	0.2941	0.0000	1.0000		3.6974	0.2941	0.0000	1.0000
25	7.7378e-03		0.6511	0.3069	0.0714	0.8387		1.0870	0.4118	0.2083	0.9000		1.4545	0.2647	0.0833	0.7000
30	7.3509e-03		0.5609	0.4950	0.4429	0.6129		0.6821	0.6176	0.7917	0.2000		1.2409	0.5588	0.7917	0.0000
35	6.9834e-03		0.9955	0.3564	0.1429	0.8387		0.5736	0.2941	0.0417	0.9000		0.7452	0.2647	0.0417	0.8000
40	6.6342e-03		0.5221	0.6931	0.9286	0.1613		2.6528	0.6176	0.7917	0.2000		3.4633	0.7059	0.7917	0.5000
45	6.3025e-03		0.4140	0.4950	0.4286	0.6452		0.7185	0.4412	0.2917	0.8000		1.6096	0.2647	0.2083	0.4000
50	5.9874e-03		0.9313	0.3069	0.0571	0.8710		3.3235	0.2941	0.0000	1.0000		4.7630	0.2941	0.0000	1.0000
55	5.6880e-03		0.8598	0.3465	0.1000	0.9032		0.4091	0.3529	0.1250	0.9000		0.9720	0.3235	0.1667	0.7000
60	5.4036e-03		0.6847	0.4059	0.2000	0.8710		0.5606	0.3235	0.0833	0.9000		0.8096	0.2647	0.0833	0.7000
65	5.1334e-03		0.4558	0.2970	0.0571	0.8387		0.3694	0.3824	0.1667	0.9000		0.5331	0.3529	0.2083	0.7000
70	4.8767e-03		0.5581	0.5941	0.8286	0.0645		0.3449	0.6765	0.8750	0.2000		0.4206	0.7647	0.9167	0.4000
75	4.6329e-03		0.5172	0.6436	0.8857	0.0968		0.5810	0.3824	0.1250	1.0000		0.7895	0.2353	0.0417	0.7000
80	4.4013e-03		0.5395	0.3564	0.1714	0.7742		0.5491	0.2941	0.0000	1.0000		0.5735	0.3235	0.0417	1.0000
85	4.1812e-03		0.5082	0.4653	0.5143	0.3548		0.6220	0.2941	0.0417	0.9000		0.8190	0.3235	0.0833	0.9000
90	3.9721e-03		0.3909	0.4158	0.4000	0.4516		0.3701	0.7059	0.9583	0.1000		0.4979	0.7353	1.0000	0.1000
95	3.7735e-03		0.4475	0.6634	0.9143	0.0968		0.3800	0.6765	0.9167	0.1000		0.3558	0.7353	0.9167	0.3000
100	3.5849e-03		0.4035	0.4455	0.2714	0.8387		0.5105	0.6471	0.8750	0.1000		0.5348	0.6765	0.8333	0.3000
105	3.4056e-03		0.4170	0.5743	0.6571	0.3871		0.6053	0.2941	0.0417	0.9000		0.7996	0.3235	0.0833	0.9000
110	3.2353e-03		0.4206	0.3762	0.1286	0.9355		0.4798	0.2941	0.0833	0.8000		0.6024	0.2941	0.0833	0.8000
115	3.0736e-03		0.4316	0.2871	0.0286	0.8710		0.4769	0.3235	0.0833	0.9000		0.5376	0.2647	0.0833	0.7000
