Program ID: 24216

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   use slices as features channels in convolution, and use 1*1 convolution along slices to implement z direction convolution followed by 3*3 convolutino slice planes;
                it just use three cascading 2D convolutions (frist z, then xy, and z directon again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-folc cross validation;
            6   add lossweight for ajusting positive sample to 3/7.

Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-26 16:55:22.129194
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 71,720,500 parameters.
Info: program will use 2 GPUs.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	2.3685	0.4200	0.3857	0.5000		0.4484	0.3143	0.0000	1.0000		0.4493	0.2941	0.0000	1.0000
5	0.4857	0.6400	0.8429	0.1667		0.4079	0.6857	1.0000	0.0000		0.3884	0.7059	1.0000	0.0000
10	0.6348	0.7100	1.0000	0.0333		0.4662	0.4857	0.2917	0.9091		0.4813	0.3529	0.1667	0.8000
15	0.4349	0.5000	0.3571	0.8333		0.4160	0.4857	0.4167	0.6364		0.4642	0.5000	0.3750	0.8000
20	0.4276	0.4900	0.4286	0.6333		0.4737	0.6000	0.8333	0.0909		0.3104	0.7941	0.9167	0.5000
25	0.5143	0.3000	0.0286	0.9333		0.4995	0.3143	0.0417	0.9091		0.4943	0.2941	0.0417	0.9000
30	0.4284	0.4600	0.3571	0.7000		0.6043	0.4571	0.4583	0.4545		0.4909	0.4118	0.2917	0.7000
35	0.4260	0.4500	0.3286	0.7333		0.4096	0.4286	0.3750	0.5455		0.3972	0.3824	0.2500	0.7000
40	0.4386	0.6400	0.7429	0.4000		0.4622	0.4286	0.4167	0.4545		0.3894	0.5588	0.5000	0.7000
45	0.4036	0.6300	0.7429	0.3667		0.5189	0.6000	0.8333	0.0909		0.4398	0.6176	0.7917	0.2000
50	0.4312	0.4400	0.2286	0.9333		0.5383	0.3429	0.2083	0.6364		0.5121	0.3529	0.1667	0.8000
55	0.3789	0.6200	0.6286	0.6000		1.5111	0.5143	0.5417	0.4545		0.9698	0.5588	0.5417	0.6000
60	0.3920	0.5700	0.4571	0.8333		0.7146	0.5714	0.6667	0.3636		0.5298	0.5294	0.5417	0.5000
65	0.4046	0.5900	0.4571	0.9000		0.4829	0.5714	0.6250	0.4545		0.4360	0.6176	0.6667	0.5000
70	0.3801	0.6500	0.6143	0.7333		0.4663	0.4857	0.4167	0.6364		0.4464	0.4706	0.3750	0.7000
75	0.4118	0.6800	0.6429	0.7667		1.2599	0.4571	0.4583	0.4545		1.1377	0.4412	0.3750	0.6000
80	0.3352	0.7800	0.7857	0.7667		1.2842	0.5714	0.6667	0.3636		1.4544	0.5882	0.6250	0.5000
85	0.2570	0.7900	0.7143	0.9667		0.7983	0.6000	0.7500	0.2727		0.8257	0.6471	0.7500	0.4000
90	0.2591	0.7500	0.7000	0.8667		0.8500	0.6000	0.7083	0.3636		0.8999	0.6471	0.7083	0.5000
95	0.3443	0.8300	0.8286	0.8333		0.7927	0.6000	0.7917	0.1818		0.7752	0.5588	0.7083	0.2000
