=============training from sratch============
Program ID: 23009

Program command: 
 ['TrainResNeXtVNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet', '1', '/home/hxie1/data/OvarianCancerCT/pixelSize223withLabel/numpy', '/home/hxie1/data/OvarianCancerCT/pixelSize223withLabel/numpyLabel', '0', '3,2,1']

Major program changes: 
     1  a V model with ResNeXt block: use z convolution, and then xy convolution, to implement 3D convolution.
     2  at ground truth, only check the segmented slices, about 3 slices per patient;
     3  the input is whole 3D volume, instead of ROI around a segmented slice;
     4  support input data augmentation: affine in xy plane, and translation in z direction;
     5  input Size: 231*251*251 with label, instead of previous SkyWatch Model of 29*140*140;
     6  treat all 1,2,3 labels as 1, in other words, do not differentiate primary, metastase, and nymph node;
     7  initializaiton LR is 0.1; considering zero padding and the bigger risk cost of missing cancer, adjust loss positive weight;  
    

Discarded changes:                  

Experiment setting:
Input CT data: maximum size 231*251*251 (zyx) of 3D numpy array with spacing size(3*2*2)

Loss Function:  BCELogitLoss

Data:   total 143 patients with weak annotaton label, 5-fold cross validation, test 29, validation 29, and training 85.  

Training strategy: 

          

Program starting Time: 2019-09-01 04:36:03.708808
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet/20190901_043603

Info: this is the 0th fold leave for test in the 5-fold cross-validation.

Info: batchSize = 12

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet/20190901_043603.
5-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.

training dataset: total 85 image files.

validation dataset: total 29 image files.

test dataset: total 29 image files.
Network has total 26,372,379 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
420	1.0000e-04		1025365.3389	0.15683		1393242.7083	0.14577		1882748.7604	0.14564
425	1.0000e-04		1117587.7363	0.13932		1534583.6667	0.14145		2077624.3021	0.15026
430	1.0000e-04		1070215.8311	0.14107		1387004.1875	0.14175		1896158.1354	0.14331
435	1.0000e-04		1078045.0664	0.14473		1405064.4167	0.14293		1820988.0000	0.14662
440	1.0000e-04		1097587.1606	0.14391		1357360.8333	0.13899		1749853.7292	0.13903
445	1.0000e-04		1215433.7539	0.14318		1403290.2500	0.14279		1862644.3438	0.14622
450	1.0000e-04		1130954.1357	0.13885		1399976.5000	0.14335		1877990.8229	0.14559
455	1.0000e-04		1117646.0195	0.14414		1435274.6875	0.14254		1916992.7188	0.14820
460	1.0000e-04		1073778.2783	0.15476		1386962.9792	0.14248		1828946.4479	0.14391
465	1.0000e-04		1039923.9531	0.15470		1384200.1875	0.14357		1818941.7292	0.14425
470	1.0000e-04		1018898.9414	0.15665		1378073.4792	0.14198		1802106.0521	0.14334
475	1.0000e-04		1101945.5537	0.15979		1370086.0625	0.14003		1804573.4583	0.14167
480	1.0000e-04		1096271.2012	0.14132		1430724.5833	0.14102		1871320.7292	0.14628
485	1.0000e-04		1080929.8853	0.15067		1384991.4375	0.14240		1846148.1667	0.14439
490	1.0000e-04		1055965.3926	0.14766		1417899.3750	0.14054		1851675.3542	0.14716
495	1.0000e-04		1041627.8105	0.13968		1410961.3958	0.14090		1803824.6562	0.14623
500	1.0000e-04		1064804.0195	0.14359		1367280.9167	0.14334		1845370.5625	0.14260
505	1.0000e-04		1059546.0264	0.14132		1406879.9167	0.14586		1829839.7188	0.14793
510	1.0000e-04		1081947.6357	0.16285		1352412.1250	0.14063		1692976.6042	0.13984
515	1.0000e-04		1052635.8965	0.14874		1363173.8333	0.14183		1812059.7708	0.14281
520	1.0000e-04		1080528.7598	0.15385		1376476.6458	0.13980		1769232.5104	0.14240
525	1.0000e-04		1071359.0332	0.15157		1424005.7500	0.14285		1896629.6042	0.14883
530	1.0000e-04		1155357.8750	0.14712		1733457.0208	0.14570		2437273.2083	0.15277
535	1.0000e-04		1015646.6572	0.14815		1357066.4167	0.13833		1728562.6667	0.13969
540	1.0000e-04		995856.0234	0.15365		1346894.5625	0.14247		1798749.1250	0.13949
545	1.0000e-04		1041170.4858	0.14952		1406781.1250	0.14305		1891091.1042	0.14675
550	1.0000e-04		1062579.7930	0.15078		1401670.6875	0.14183		1893477.8646	0.14709
555	1.0000e-04		1069377.0332	0.16008		1359419.2500	0.14263		1790367.6146	0.14270
560	1.0000e-04		1154753.0176	0.14443		1383012.9792	0.14434		1879734.5104	0.14604
565	1.0000e-04		1156032.3242	0.14305		1405344.2917	0.14296		1887145.5000	0.14703
570	1.0000e-04		1120637.0005	0.14286		1372578.3333	0.14408		1869788.3750	0.14496
575	1.0000e-04		1067930.3477	0.14682		1415102.7500	0.13499		1812026.8958	0.14621
580	1.0000e-04		1011548.3682	0.15279		1382539.2917	0.13814		1771268.5833	0.14285
585	1.0000e-04		1140374.4443	0.15186		1383754.6875	0.14096		1811081.5208	0.14450
590	1.0000e-04		1041306.7500	0.14283		1401513.3958	0.14355		1875284.7917	0.14659
595	1.0000e-04		1059405.6123	0.14755		1393456.6875	0.14200		1808387.2188	0.14581
600	1.0000e-04		1013887.1504	0.15032		1373391.8750	0.13940		1796285.1979	0.14165
605	1.0000e-04		1284886.5830	0.14691		1377328.3125	0.14439		1890239.0417	0.14500
610	1.0000e-04		986539.9199	0.14896		1379045.7500	0.14231		1817888.2083	0.14321
615	1.0000e-04		1087145.3066	0.14009		1388118.8958	0.14299		1802942.8125	0.14639
620	1.0000e-04		1120842.8801	0.15319		1375706.4583	0.14199		1837573.0208	0.14409
625	1.0000e-04		1053498.3457	0.14916		1412443.1458	0.13905		1888269.3646	0.14631
630	1.0000e-04		1054610.5449	0.14991		1394942.7708	0.14101		1845321.2188	0.14598
635	1.0000e-04		1097670.1602	0.14556		1392357.5833	0.14001		1737474.2396	0.14575
640	1.0000e-04		928737.4609	0.15820		1407845.7500	0.13535		1814963.4792	0.14516
645	1.0000e-04		1083194.7217	0.14422		1363284.2917	0.14239		1797527.8542	0.14365
650	1.0000e-04		1029486.7334	0.14551		1391936.0000	0.14042		1815130.4271	0.14535
655	1.0000e-04		1010535.8770	0.14254		1367436.2917	0.14450		1833132.3854	0.14485
660	1.0000e-04		1024754.4707	0.15618		1417699.6458	0.13710		1858733.8750	0.14837
665	1.0000e-04		1045768.1602	0.14588		1371717.2292	0.14201		1789481.8750	0.14421
670	1.0000e-04		1132307.6182	0.16811		1364274.1875	0.14208		1826763.7500	0.14311
675	1.0000e-04		1000738.9717	0.16289		1365394.2917	0.14293		1853497.6250	0.14443
680	1.0000e-04		1021536.3887	0.14889		1384710.7917	0.14012		1726116.1979	0.14360
685	1.0000e-04		1054321.7305	0.13562		1344984.7708	0.14171		1803213.1771	0.14078
690	1.0000e-04		1068061.9434	0.13903		1387084.0000	0.13932		1841205.8542	0.14513
695	1.0000e-04		1043648.7275	0.14727		1345328.9583	0.14106		1715403.0417	0.14066
700	1.0000e-04		1049266.9023	0.14535		1372638.5000	0.14020		1765435.0000	0.14248
705	1.0000e-04		1056981.4644	0.15580		1351556.0833	0.13996		1775650.8438	0.14086
710	1.0000e-04		1060250.2949	0.14791		1363923.0833	0.14172		1815258.3958	0.14295
715	1.0000e-04		1023123.4243	0.15718		1400829.8750	0.13976		1857228.8438	0.14704
720	1.0000e-04		1051085.0957	0.16211		1379923.8333	0.14203		1774663.3021	0.14588
725	1.0000e-04		1127291.2656	0.14514		1436016.5000	0.13863		1882950.0938	0.14955
730	1.0000e-04		1116971.5137	0.14310		1365608.9375	0.14101		1835047.3125	0.14449
735	1.0000e-04		947986.3662	0.15997		1365809.1458	0.13926		1778120.6458	0.14275
740	1.0000e-04		1020718.2891	0.14879		1394155.7083	0.14115		1871400.3646	0.14690
745	1.0000e-04		1098746.7715	0.14815		1435275.2083	0.13803		1911423.0417	0.14983
750	1.0000e-04		1074190.8433	0.14488		1386238.0208	0.14379		1897474.8125	0.14732
755	1.0000e-04		1029937.5762	0.16836		1392404.0000	0.14502		1879469.8958	0.14650
760	1.0000e-04		987926.0244	0.15298		1380811.9583	0.13994		1776442.4062	0.14455
765	1.0000e-04		1034063.3145	0.14373		1393882.3750	0.13673		1795971.5312	0.14560
770	1.0000e-04		1114024.9141	0.14441		1362162.5417	0.14615		1851873.4896	0.14470
775	1.0000e-04		1061829.0703	0.15493		1367893.2500	0.13893		1763513.5625	0.14313
780	1.0000e-04		1123407.6094	0.14366		1351540.5000	0.13977		1743801.2292	0.14131
785	1.0000e-04		1041325.8359	0.15153		1360191.3333	0.14349		1804594.4688	0.14472
790	1.0000e-04		1113704.5820	0.14615		1380230.0417	0.14431		1891920.1667	0.14698
795	1.0000e-04		1055007.4375	0.15079		1391161.3542	0.14618		1986152.9062	0.14885
800	1.0000e-04		1036332.5430	0.14590		1399685.3125	0.14519		1915813.5312	0.14892
805	1.0000e-04		960617.8672	0.16043		1348584.1667	0.14459		1817178.5208	0.14267
810	1.0000e-04		1073038.0728	0.14130		1360185.5208	0.14370		1842511.9792	0.14377
815	1.0000e-04		1141375.6602	0.14565		1358441.2917	0.14542		1791843.5625	0.14436
820	1.0000e-04		1134092.4766	0.14372		1411896.7292	0.13901		1751703.9479	0.14878
825	1.0000e-04		1060746.1641	0.15042		1352381.8125	0.14294		1827682.8021	0.14333
830	1.0000e-04		1179865.8657	0.15793		1397746.1250	0.14068		1864625.2396	0.14650
835	1.0000e-04		1126324.3750	0.14945		1408022.7292	0.14536		1920837.1042	0.15017
840	1.0000e-04		1082815.8613	0.16312		1337196.3750	0.14414		1779883.4792	0.14275
845	1.0000e-04		1076382.1973	0.14856		1345226.7500	0.14394		1824319.7500	0.14229
850	1.0000e-04		1103621.5591	0.15784		1387932.3958	0.14408		1902657.9479	0.14712
855	1.0000e-04		973000.4614	0.16171		1345839.2500	0.14270		1825172.7083	0.14203
860	1.0000e-04		1032301.6641	0.15054		1347530.3125	0.14203		1829321.3229	0.14228
865	1.0000e-04		1061504.1177	0.16124		1378628.3125	0.14295		1849866.6042	0.14589
870	1.0000e-04		1002085.6914	0.16197		1375255.9792	0.14644		1864903.5000	0.14690
875	1.0000e-04		1039358.3438	0.15345		1390427.3333	0.14687		1870844.3542	0.14782
880	1.0000e-04		1048620.9102	0.15535		1366324.6667	0.14501		1735227.6562	0.14531
885	1.0000e-04		1008187.1406	0.16473		1368616.3542	0.14346		1793599.1979	0.14479
890	1.0000e-04		980620.4641	0.15264		1375290.9375	0.14573		1915509.9271	0.14707
895	1.0000e-04		942805.2661	0.16285		1342023.7083	0.14293		1860687.3958	0.14321
900	1.0000e-04		1024329.8047	0.15534		1401888.4375	0.14708		1927258.6979	0.15011
905	1.0000e-04		1030123.5293	0.14416		1348111.2500	0.14485		1800208.5417	0.14435
910	1.0000e-04		983567.6875	0.15064		1367929.5000	0.14738		1901974.2708	0.14698
915	1.0000e-04		987683.9160	0.14666		1414173.2292	0.14593		1981437.3333	0.15104
920	1.0000e-04		1116536.4395	0.15262		1390782.1042	0.14102		1785186.1042	0.14626
925	1.0000e-04		996464.0605	0.14878		1362015.1667	0.14650		1788662.5625	0.14528
930	1.0000e-04		1124027.9238	0.16057		1403591.3542	0.14189		1808187.2188	0.14830
935	1.0000e-04		1030452.4570	0.16573		1363660.8125	0.14497		1832268.4792	0.14453
940	1.0000e-04		1067274.3242	0.16193		1336495.9792	0.14227		1776503.0312	0.14096
945	1.0000e-04		1073650.4053	0.16404		1400852.2708	0.14227		1894618.8438	0.14761
950	1.0000e-04		1015475.8809	0.15374		1359761.5000	0.14450		1863293.6042	0.14475
955	1.0000e-04		989773.8516	0.15942		1379725.7083	0.14773		1904895.2396	0.14778
960	1.0000e-04		973196.8818	0.15116		1353207.7292	0.14425		1840593.6771	0.14425
965	1.0000e-04		1063539.6426	0.14815		1349577.9167	0.14449		1828991.7604	0.14307
970	1.0000e-04		1068365.6387	0.15964		1382281.6667	0.14465		1897403.3438	0.14713
975	1.0000e-04		1106046.2827	0.16000		1375648.8750	0.14778		1953449.6667	0.14836
980	1.0000e-04		1086467.9473	0.16079		1358546.6042	0.14401		1820273.8125	0.14396
985	1.0000e-04		997859.0938	0.15083		1576564.4167	0.14866		2169961.8958	0.15440
990	1.0000e-04		983946.4854	0.15024		1366508.9375	0.14388		1833890.0208	0.14406
995	1.0000e-04		1077469.3516	0.15841		1464870.4792	0.14539		1975484.1146	0.15232
1000	1.0000e-04		1075994.6416	0.15286		1378439.4375	0.14640		1884549.2188	0.14728
1005	1.0000e-04		1127073.7461	0.15113		1396134.7500	0.14723		1927154.5625	0.14893
1010	1.0000e-04		1029118.4902	0.15022		1455385.2083	0.14313		1961907.3021	0.15145
1015	1.0000e-04		1065028.0586	0.16540		1354757.2500	0.14636		1848584.8125	0.14477
1020	1.0000e-04		1199370.1738	0.15097		1360623.8750	0.14633		1812354.1875	0.14456
1025	1.0000e-04		1034153.8652	0.15405		1367115.3958	0.14422		1846053.2708	0.14527
1030	1.0000e-04		1023849.4275	0.14984		1359428.8958	0.14300		1835612.0729	0.14305
1035	1.0000e-04		1046806.5586	0.16029		1468879.1667	0.14777		2025085.1875	0.15431
1040	1.0000e-04		1096541.0400	0.14678		1378089.5833	0.14415		1848143.9792	0.14674
1045	1.0000e-04		985518.2354	0.17116		1359650.3958	0.14606		1890115.6458	0.14617
1050	1.0000e-04		1070896.5547	0.14332		1377215.4792	0.14328		1892408.7396	0.14615
1055	1.0000e-04		1042025.3486	0.14628		1357757.5833	0.14425		1863356.8542	0.14491
1060	1.0000e-04		980688.6084	0.16816		1343395.7708	0.14395		1847628.2083	0.14379
1065	1.0000e-04		977537.5195	0.15520		1363488.6250	0.14496		1899609.9062	0.14652
1070	1.0000e-04		1016216.1909	0.16222		1360348.2708	0.14546		1862255.6458	0.14578
1075	1.0000e-04		955052.6816	0.16647		1369684.9583	0.14768		1927509.3438	0.14700
1080	1.0000e-04		1001739.5996	0.14404		1398990.4583	0.14285		1819595.2083	0.14709
1085	1.0000e-04		1069868.5664	0.15059		1384297.0208	0.14671		1916802.0000	0.14733
1090	1.0000e-04		1008125.6494	0.14486		1352361.8958	0.14534		1886317.4583	0.14191
1095	1.0000e-04		972420.1650	0.17175		1385435.1875	0.14678		1900981.6458	0.14772
1100	1.0000e-04		1066144.0615	0.15923		1350415.4167	0.14433		1870588.3021	0.14289
1105	1.0000e-04		955865.0430	0.15205		1382275.6458	0.14717		1957954.7917	0.14845
1110	1.0000e-04		963459.3047	0.17320		1334219.0833	0.14404		1866789.7292	0.14188
1115	1.0000e-04		968772.5562	0.17389		1406545.7500	0.14185		1917973.5000	0.14926
1120	1.0000e-04		1036519.4580	0.15875		1339017.9792	0.14422		1871871.9479	0.14176
1125	1.0000e-04		1062877.6602	0.15474		1360711.2917	0.14874		1858883.4375	0.14734
1130	1.0000e-04		1004108.7568	0.17464		1355434.8125	0.14466		1878804.6042	0.14341
1135	1.0000e-04		1047421.8594	0.16399		1384786.1875	0.14694		1958713.5625	0.14902
1140	1.0000e-04		1016370.8594	0.14754		1380671.0417	0.14865		1944546.5625	0.14933
1145	1.0000e-04		1074680.0117	0.16822		1395811.2917	0.14170		1895060.8542	0.14801
1150	1.0000e-04		1003464.9482	0.15357		1348571.2083	0.14570		1855095.2292	0.14442
1155	1.0000e-04		1036161.9408	0.15176		1381353.6458	0.14641		1879201.1979	0.14742
1160	1.0000e-04		1080115.3906	0.14499		1429477.1250	0.14617		1934134.0833	0.15082
1165	1.0000e-04		985815.1025	0.15115		1418057.1458	0.14324		1808337.3229	0.14851
1170	1.0000e-04		1018050.3447	0.14092		1344658.7917	0.14377		1805904.4479	0.14253
1175	1.0000e-04		1130415.9355	0.14955		1363720.7500	0.14427		1837671.1771	0.14323
1180	1.0000e-04		926253.0742	0.16364		1372867.6667	0.14173		1871698.7708	0.14545
1185	1.0000e-04		985231.0566	0.14957		1354717.8333	0.14340		1852376.9792	0.14343
1190	1.0000e-04		1048693.1367	0.16424		1391071.7500	0.14417		1901720.4896	0.14812
1195	1.0000e-04		978707.8652	0.16338		1372649.1458	0.14188		1853124.9375	0.14449
1200	1.0000e-05		1032664.5986	0.17169		1417856.7292	0.14761		1947704.8542	0.15089
1205	1.0000e-05		1078960.7168	0.15369		1406802.7500	0.14523		1950980.3333	0.14909
1210	1.0000e-05		1002605.5908	0.16723		1366840.7500	0.14374		1848881.3854	0.14536
1215	1.0000e-05		944916.4590	0.15771		1367183.2292	0.14478		1941032.1667	0.14747
1220	1.0000e-05		1048584.3179	0.14905		1350980.2917	0.14594		1869900.8333	0.14351
1225	1.0000e-05		1075589.6689	0.16249		1356157.0833	0.14509		1825619.3438	0.14422
1230	1.0000e-05		1150554.4766	0.15779		1645027.9167	0.15163		2347827.5833	0.15648
1235	1.0000e-05		1019967.4463	0.15977		1346169.0625	0.14468		1868720.4479	0.14254
1240	1.0000e-05		979870.7480	0.14890		1362302.5417	0.14698		1866590.4271	0.14595
1245	1.0000e-05		986395.0215	0.16990		1367309.6667	0.14713		1892527.1042	0.14699
1250	1.0000e-05		1013504.0820	0.15708		1387419.5833	0.14841		1998726.8646	0.14984
1255	1.0000e-05		1004243.6719	0.16124		1347301.8333	0.14405		1887506.9062	0.13876
1260	1.0000e-05		1036865.9609	0.15499		1347093.8542	0.14211		1792297.8854	0.14283
1265	1.0000e-05		1006915.8887	0.15146		1378115.6250	0.14546		1891691.0729	0.14653
1270	1.0000e-05		981615.2490	0.15368		1351472.1875	0.14452		1783882.3438	0.14269
1275	1.0000e-05		1076295.1074	0.15098		1448258.8750	0.14239		1932451.5938	0.15134
1280	1.0000e-05		972792.6250	0.16543		1364869.4583	0.14477		1902339.6875	0.14540
1285	1.0000e-05		1151604.8599	0.14752		1364239.4375	0.14796		1904690.0000	0.14693
1290	1.0000e-05		955137.5254	0.14766		1353105.1667	0.14460		1867022.8646	0.14354
1295	1.0000e-05		1025045.0908	0.14791		1397461.2500	0.14174		1878475.7396	0.14766
1300	1.0000e-05		984358.6201	0.14702		1337635.5208	0.14196		1866049.9167	0.14217
1305	1.0000e-05		1036240.8125	0.15890		1359362.8958	0.14342		1845236.5417	0.14341
1310	1.0000e-05		1013011.7637	0.14244		1368205.1667	0.14441		1904980.8646	0.14564
1315	1.0000e-05		1030628.3613	0.15283		1374913.7083	0.14376		1891077.8542	0.14640
1320	1.0000e-05		1061837.3055	0.15478		1360547.1875	0.14570		1906976.0104	0.14503
