=============training from sratch============
Program ID: 10668

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            4    At July 29th 09:37am, 2019, reduce filters to 96 to further reduce parameters, keep avgPool.
            5    at July 29th 11:25am, 2019,  reduce filter number to 48, and redue one stage
            6    at July 29th 12:41, 2019:
                    add GPUID in command line;
                    use SGD optimizer, instead of Adam
                    add numbers of filters along deeper layer with step 12.
                    add saveDir's tims stamp;
            7    at July 29th 15:18, 2019,
                    change learning rate step_size = 5 from 10;
                    before FC, we use conv2d
                    learning rate start at 0.5.
            8    at July 30th 03:00, 2019:
                    add learning rate print;
                    use convStride =2;
                    add filter number by 2 times along deeper layers.
            9    at July 30th, 10:13, 2019:
                    add MaxPool2d in stage1;
                    add final filters to 2048.
                                            
                    
            
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-30 10:28:40.298587
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten/20190730_102840

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 294,823,412 parameters.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	LearningRate		TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	1.0000e-02		1.0900	0.5500	0.5857	0.4667		0.4180	0.3143	0.0000	1.0000		0.4078	0.2941	0.0000	1.0000
5	1.0000e-02		0.7843	0.3600	0.2143	0.7000		0.5183	0.6857	1.0000	0.0000		0.8164	0.7059	1.0000	0.0000
10	9.5000e-03		1.0008	0.5200	0.5143	0.5333		1.0622	0.6857	1.0000	0.0000		2.1475	0.7059	1.0000	0.0000
15	9.5000e-03		0.4958	0.3600	0.2000	0.7333		0.4626	0.6286	0.9167	0.0000		0.4932	0.6765	0.8333	0.3000
20	9.0250e-03		0.5105	0.3500	0.2143	0.6667		0.4133	0.3143	0.0000	1.0000		0.7451	0.2941	0.0000	1.0000
25	9.0250e-03		0.4223	0.4400	0.3429	0.6667		0.5169	0.6571	0.9167	0.0909		0.8535	0.6765	0.7917	0.4000
30	8.5737e-03		0.5021	0.6500	0.8143	0.2667		0.4940	0.3143	0.0000	1.0000		0.8340	0.2941	0.0000	1.0000
35	8.5737e-03		0.4938	0.3500	0.1429	0.8333		0.5342	0.6571	0.9583	0.0000		0.4235	0.7353	0.9583	0.2000
40	8.1451e-03		0.4584	0.6800	0.9286	0.1000		0.4964	0.3143	0.0000	1.0000		1.0242	0.2941	0.0000	1.0000
45	8.1451e-03		0.4308	0.4500	0.5429	0.2333		0.4204	0.3143	0.0000	1.0000		0.4419	0.2941	0.0000	1.0000
50	7.7378e-03		0.4614	0.5700	0.7286	0.2000		0.4334	0.6857	0.9583	0.0909		0.3840	0.7353	0.9167	0.3000
55	7.7378e-03		0.4344	0.6600	0.8857	0.1333		0.4813	0.3143	0.0000	1.0000		0.6230	0.2941	0.0000	1.0000
60	7.3509e-03		0.4468	0.3500	0.3000	0.4667		0.4180	0.3429	0.0417	1.0000		0.4475	0.2941	0.0833	0.8000
65	7.3509e-03		0.3998	0.3600	0.0857	1.0000		0.4142	0.4000	0.2083	0.8182		0.6065	0.3529	0.2500	0.6000
70	6.9834e-03		0.4398	0.6600	0.9143	0.0667		0.4159	0.6857	1.0000	0.0000		0.4075	0.6765	0.8750	0.2000
75	6.9834e-03		0.4165	0.5500	0.6857	0.2333		0.4401	0.6000	0.8750	0.0000		0.3972	0.6471	0.7917	0.3000
80	6.6342e-03		0.4163	0.3200	0.0429	0.9667		0.4153	0.3429	0.0417	1.0000		0.4148	0.2647	0.0417	0.8000
85	6.6342e-03		0.4131	0.4400	0.5286	0.2333		0.4213	0.5714	0.7500	0.1818		0.3861	0.6176	0.7083	0.4000
90	6.3025e-03		0.4164	0.6500	0.8571	0.1667		0.4303	0.6571	0.9167	0.0909		0.3824	0.6765	0.7917	0.4000
95	6.3025e-03		0.4238	0.6700	0.8714	0.2000		0.4189	0.6286	0.9167	0.0000		0.3890	0.7647	0.9583	0.3000
100	5.9874e-03		0.4241	0.6200	0.8000	0.2000		0.4330	0.5714	0.7500	0.1818		0.3838	0.6471	0.7500	0.4000
105	5.9874e-03		0.4137	0.6700	0.8857	0.1667		0.4206	0.6286	0.8333	0.1818		0.3779	0.7647	0.9167	0.4000
110	5.6880e-03		0.4082	0.6400	0.8286	0.2000		0.4482	0.6000	0.8750	0.0000		0.3824	0.7059	0.8750	0.3000
115	5.6880e-03		0.4085	0.6800	0.9143	0.1333		0.4241	0.6000	0.8750	0.0000		0.3848	0.7059	0.8750	0.3000
120	5.4036e-03		0.4141	0.6600	0.8714	0.1667		0.4230	0.6286	0.9167	0.0000		0.3969	0.7353	0.9167	0.3000
